Week,Week_Code,Market,Category,Net_Balance_1000JPY,Net_Balance_Billion_JPY
2025年2月2週,250202,Tokyo & Nagoya,個　人,-100118088.0,-100.118088
2025年2月2週,250202,Tokyo & Nagoya,法　人,18016039.0,18.016039
2025年2月2週,250202,Tokyo & Nagoya,自己計,40029496.0,40.029496
2025年2月2週,250202,TSE Growth,証券会社,-138243.0,-0.138243
2025年2月2週,250202,Tokyo & Nagoya,投資信託,-7887516.0,-7.887516
2025年2月2週,250202,TSE Growth,投資信託,-943563.0,-0.943563
2025年2月2週,250202,TSE Growth,事業法人,378575.0,0.378575
2025年2月2週,250202,TSE Standard,自己計,-524531.0,-0.524531
2025年2月2週,250202,TSE Prime,投資信託,-3220051.0,-3.220051
2025年2月2週,250202,TSE Prime,証券会社,-15936629.0,-15.936629
2025年2月2週,250202,TSE Prime,海外投資家,96878048.0,96.878048
2025年2月2週,250202,TSE Prime,個　人,-113347813.0,-113.347813
2025年2月2週,250202,TSE Prime,法　人,13117001.0,13.117001
2025年2月2週,250202,TSE Prime,自己計,46349032.0,46.349032
2025年2月2週,250202,TSE Prime,事業法人,153616037.0,153.616037
2025年2月2週,250202,TSE Standard,投資信託,-3683199.0,-3.683199
2025年2月2週,250202,TSE Standard,証券会社,-419235.0,-0.419235
2025年2月2週,250202,TSE Standard,海外投資家,5886980.0,5.88698
2025年2月2週,250202,TSE Standard,個　人,527908.0,0.527908
2025年2月2週,250202,TSE Standard,法　人,5731431.0,5.731431
2025年2月2週,250202,TSE Standard,事業法人,13211751.0,13.211751
2025年2月3週,250203,TSE Growth,海外投資家,-1957276.0,-1.957276
2025年2月3週,250203,TSE Growth,個　人,2125116.0,2.125116
2025年2月3週,250203,TSE Growth,法　人,-2713191.0,-2.713191
2025年2月3週,250203,TSE Growth,自己計,2855330.0,2.85533
2025年2月3週,250203,Tokyo & Nagoya,事業法人,210115247.0,210.115247
2025年2月3週,250203,Tokyo & Nagoya,海外投資家,-163238045.0,-163.238045
2025年2月3週,250203,Tokyo & Nagoya,証券会社,-2194209.0,-2.194209
2025年2月3週,250203,Tokyo & Nagoya,個　人,175108933.0,175.108933
2025年2月3週,250203,Tokyo & Nagoya,法　人,143901152.0,143.901152
2025年2月3週,250203,Tokyo & Nagoya,自己計,-168550603.0,-168.550603
2025年2月3週,250203,TSE Growth,証券会社,363298.0,0.363298
2025年2月3週,250203,Tokyo & Nagoya,投資信託,49863879.0,49.863879
2025年2月3週,250203,TSE Growth,投資信託,2457955.0,2.457955
2025年2月3週,250203,TSE Prime,事業法人,199995910.0,199.99591
2025年2月3週,250203,TSE Standard,自己計,88408.0,0.088408
2025年2月3週,250203,TSE Growth,事業法人,371254.0,0.371254
2025年2月3週,250203,TSE Prime,投資信託,47126861.0,47.126861
2025年2月3週,250203,TSE Prime,証券会社,-2132517.0,-2.132517
2025年2月3週,250203,TSE Prime,海外投資家,-146489956.0,-146.489956
2025年2月3週,250203,TSE Prime,法　人,143987351.0,143.987351
2025年2月3週,250203,TSE Prime,自己計,-171895920.0,-171.89592
2025年2月3週,250203,TSE Prime,個　人,161814179.0,161.814179
2025年2月3週,250203,TSE Standard,投資信託,274185.0,0.274185
2025年2月3週,250203,TSE Standard,証券会社,-379516.0,-0.379516
2025年2月3週,250203,TSE Standard,海外投資家,-15180819.0,-15.180819
2025年2月3週,250203,TSE Standard,個　人,11996272.0,11.996272
2025年2月3週,250203,TSE Standard,法　人,2534087.0,2.534087
2025年2月3週,250203,TSE Standard,事業法人,9531012.0,9.531012
2025年2月4週,250204,TSE Growth,自己計,1029683.0,1.029683
2025年2月4週,250204,TSE Growth,海外投資家,-3334907.0,-3.334907
2025年2月4週,250204,TSE Growth,個　人,2654200.0,2.6542
2025年2月4週,250204,TSE Growth,法　人,-1345506.0,-1.345506
2025年2月4週,250204,Tokyo & Nagoya,事業法人,156467581.0,156.467581
2025年2月4週,250204,TSE Growth,証券会社,433343.0,0.433343
2025年2月4週,250204,Tokyo & Nagoya,証券会社,20011183.0,20.011183
2025年2月4週,250204,Tokyo & Nagoya,海外投資家,-607154141.0,-607.154141
2025年2月4週,250204,Tokyo & Nagoya,個　人,518192386.0,518.192386
2025年2月4週,250204,Tokyo & Nagoya,法　人,155232950.0,155.23295
2025年2月4週,250204,Tokyo & Nagoya,自己計,-103501994.0,-103.501994
2025年2月4週,250204,Tokyo & Nagoya,投資信託,5093246.0,5.093246
2025年2月4週,250204,TSE Growth,投資信託,-1381629.0,-1.381629
2025年2月4週,250204,TSE Growth,事業法人,469008.0,0.469008
2025年2月4週,250204,TSE Standard,自己計,3304358.0,3.304358
